UNCLOSED POSITIONS DETAILED REPORT
====================================================================================================
Generated: 2025-11-18 20:40:08.884789
Total Unclosed: 251
Total Trapped Margin: $64,429.40


XRP/USDT (49 positions)
----------------------------------------------------------------------------------------------------
  ID: 239 | Time: 2025-11-06 16:36:24 | Age: 12d 4h | Side: SHORT | Amount: 0.0015 | Price: $2.23 | Margin: $0.00 | Fee: $0.00
  ID: 245 | Time: 2025-11-06 16:42:35 | Age: 12d 3h | Side: SHORT | Amount: 0.0000 | Price: $2.22 | Margin: $0.00 | Fee: $0.00
  ID: 251 | Time: 2025-11-06 16:46:08 | Age: 12d 3h | Side: SHORT | Amount: 0.0005 | Price: $2.21 | Margin: $0.00 | Fee: $0.00
  ID: 256 | Time: 2025-11-06 16:50:43 | Age: 12d 3h | Side: SHORT | Amount: 0.0000 | Price: $2.22 | Margin: $0.00 | Fee: $0.00
  ID: 261 | Time: 2025-11-06 16:54:09 | Age: 12d 3h | Side: SHORT | Amount: 0.0001 | Price: $2.23 | Margin: $0.00 | Fee: $0.00
  ID: 265 | Time: 2025-11-06 16:59:00 | Age: 12d 3h | Side: SHORT | Amount: 0.0000 | Price: $2.23 | Margin: $0.00 | Fee: $0.00
  ID: 270 | Time: 2025-11-06 17:01:54 | Age: 12d 3h | Side: SHORT | Amount: 0.0001 | Price: $2.23 | Margin: $0.00 | Fee: $0.00
  ID: 298 | Time: 2025-11-06 17:14:48 | Age: 12d 3h | Side: SHORT | Amount: 6762.8275 | Price: $2.23 | Margin: $753.75 | Fee: $15.07
  ID: 302 | Time: 2025-11-06 17:15:14 | Age: 12d 3h | Side: SHORT | Amount: 5742.8946 | Price: $2.22 | Margin: $638.56 | Fee: $12.77
  ID: 324 | Time: 2025-11-06 17:31:20 | Age: 12d 3h | Side: SHORT | Amount: 5632.1073 | Price: $2.23 | Margin: $627.59 | Fee: $12.55
  ID: 343 | Time: 2025-11-06 17:46:27 | Age: 12d 2h | Side: SHORT | Amount: 4902.5717 | Price: $2.23 | Margin: $547.71 | Fee: $10.95
  ID: 360 | Time: 2025-11-06 18:21:23 | Age: 12d 2h | Side: SHORT | Amount: 6895.2517 | Price: $2.21 | Margin: $762.96 | Fee: $15.26
  Subtotal: $3,579.77

ADA/USDT (48 positions)
----------------------------------------------------------------------------------------------------
  ID: 61 | Time: 2025-11-06 11:22:03 | Age: 12d 9h | Side: SHORT | Amount: 5100.3594 | Price: $0.53 | Margin: $135.72 | Fee: $2.71
